memories,price,description,reviews,ratings
"[128, 256, 512, 1024]","['$69.99', '$89.99', '$109.99', '$129.99']","7"" screen, Android",7,3
"[128, 256, 512, 1024]","['$88.99', '$108.99', '$128.99', '$148.99']","Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",7,4
"[128, 256, 512, 1024]","['$96.99', '$116.99', '$136.99', '$156.99']","7"" screen, Android, 16GB",7,1
"[128, 256, 512, 1024]","['$97.99', '$117.99', '$137.99', '$157.99']","7"", 8GB, Wi-Fi, Android 4.2, White",2,2
"[128, 256, 512, 1024]","['$99.99', '$119.99', '$139.99', '$159.99']","Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",1,3
"[128, 256, 512, 1024]","['$101.99', '$121.99', '$141.99', '$161.99']","IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",10,2
"[128, 256, 512, 1024]","['$102.99', '$122.99', '$142.99', '$162.99']","7"" screen, Android, 8GB",14,4
"[128, 256, 512, 1024]","['$103.99', '$123.99', '$143.99', '$163.99']","6"" screen, wifi",3,4
"[128, 256, 512, 1024]","['$107.99', '$127.99', '$147.99', '$167.99']","7"", 8GB, Wi-Fi, Android 4.2, Yellow",14,2
"[128, 256, 512, 1024]","['$121.99', '$141.99', '$161.99', '$181.99']","Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",13,2
"[128, 256, 512, 1024]","['$130.99', '$150.99', '$170.99', '$190.99']","White, 7"", Atom 1.2GHz, 8GB, Android 4.4",11,1
"[128, 256, 512, 1024]","['$148.99', '$168.99', '$188.99', '$208.99']","Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",9,2
"[128, 256, 512, 1024]","['$172.99', '$192.99', '$212.99', '$232.99']","Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",8,3
"[128, 256, 512, 1024]","['$233.99', '$253.99', '$273.99', '$293.99']","LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",1,4
"[128, 256, 512, 1024]","['$251.99', '$271.99', '$291.99', '$311.99']","16GB, White",14,3
"[128, 256, 512, 1024]","['$320.99', '$340.99', '$360.99', '$380.99']","White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",7,2
"[128, 256, 512, 1024]","['$399.99', '$419.99', '$439.99', '$459.99']","10.1"", 3G, Android 4.0, Garnet Red",12,4
"[128, 256, 512, 1024]","['$489.99', '$509.99', '$529.99', '$549.99']","12.2"", 32GB, WiFi, Android 4.4, White",9,3
"[128, 256, 512, 1024]","['$537.99', '$557.99', '$577.99', '$597.99']","Wi-Fi + Cellular, 32GB, Silver",8,2
"[128, 256, 512, 1024]","['$587.99', '$607.99', '$627.99', '$647.99']","10.1"", 32GB, Black",6,2
"[128, 256, 512, 1024]","['$603.99', '$623.99', '$643.99', '$663.99']","Wi-Fi, 64GB, Silver",7,3
